Name,Index Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Eswatini,2020,55.3,49.8,37.2,42.4,72.8,62.8,17.6,58.9,67.9,75.2,88.6,50.0,40.0
Ethiopia,2020,53.6,36.5,29.4,45.1,77.4,90.8,79.2,48.6,57.6,62.7,60.8,35.0,20.0
Fiji,2020,63.4,69.9,45.6,42.6,80.5,68.9,84.2,62.6,76.2,72.5,52.8,55.0,50.0
Finland,2020,75.7,92.3,96.1,80.5,67.5,11.2,90.7,84.8,50.3,83.6,86.4,85.0,80.0
France,2020,66.0,85.9,83.3,71.2,48.8,4.5,67.1,82.5,46.1,76.7,81.4,75.0,70.0
Gabon,2020,56.7,36.9,36.7,20.8,74.3,89.3,88.9,52.1,52.3,77.3,51.2,60.0,40.0
Georgia,2020,77.1,68.6,64.8,57.9,87.1,73.6,94.4,85.3,76.3,78.3,88.6,80.0,70.0
Germany,2020,73.5,80.5,82.8,74.3,60.9,42.2,92.9,82.8,53.0,76.7,86.4,80.0,70.0
Ghana,2020,59.4,52.5,32.2,46.1,78.4,88.1,35.6,58.4,59.3,68.9,63.8,70.0,60.0
Greece,2020,59.9,57.0,51.2,48.6,59.0,31.5,80.0,73.7,52.0,79.4,81.4,55.0,50.0
Guatemala,2020,64.0,45.5,29.6,32.2,79.2,95.6,95.7,62.6,48.4,77.4,82.2,70.0,50.0
Guinea,2020,56.5,38.7,16.1,33.3,70.0,91.4,93.8,55.4,58.0,70.6,60.4,50.0,40.0
Guinea-Bissau,2020,53.3,41.3,14.8,48.4,88.7,86.7,67.3,39.1,61.2,82.7,49.0,30.0,30.0
Guyana,2020,56.2,53.6,34.1,42.6,66.0,64.4,58.6,58.9,62.1,82.5,66.8,55.0,30.0
Haiti,2020,52.3,16.4,22.3,23.3,80.2,89.4,96.3,33.6,62.3,61.5,67.0,45.0,30.0
Honduras,2020,61.1,48.6,28.6,34.2,82.3,78.2,96.7,56.7,31.5,72.2,79.4,65.0,60.0
Hong Kong,2020,89.1,93.6,84.7,76.8,93.0,90.3,99.9,96.2,89.1,80.7,95.0,80.0,90.0
Hungary,2020,66.4,64.8,47.5,45.7,79.9,34.5,83.6,60.2,64.6,79.9,86.4,80.0,70.0
Iceland,2020,77.1,87.6,90.3,63.2,71.7,44.1,97.5,84.7,63.5,80.3,86.8,85.0,70.0
India,2020,56.5,63.0,47.2,64.1,79.4,77.9,13.1,65.6,41.2,73.0,73.4,40.0,40.0
Indonesia,2020,67.2,59.8,37.2,56.2,83.4,91.7,90.2,70.0,49.2,78.4,80.8,50.0,60.0
Iran,2020,49.2,36.9,33.5,37.1,81.0,89.2,86.5,57.3,50.7,49.0,54.6,5.0,10.0
Iraq,2020,N/A,43.9,20.8,11.2,N/A,59.5,76.6,52.6,44.8,76.4,N/A,N/A,N/A
Ireland,2020,80.9,86.6,82.8,64.4,76.4,78.8,91.4,82.7,75.9,85.3,86.4,90.0,70.0
Israel,2020,74.0,82.3,77.2,71.8,61.0,53.5,89.2,72.2,64.4,84.9,86.2,75.0,70.0
Italy,2020,63.8,75.4,62.2,51.3,56.0,28.5,71.1,70.4,50.9,83.2,86.4,80.0,50.0
Jamaica,2020,68.5,62.1,46.8,50.5,80.0,74.8,80.2,77.7,74.0,77.7,68.4,80.0,50.0
Japan,2020,73.3,86.6,80.5,71.4,68.3,55.8,62.0,81.4,78.7,84.4,80.0,70.0,60.0
Jordan,2020,66.0,64.8,49.6,54.6,91.8,73.5,55.9,60.1,52.5,77.6,81.2,70.0,60.0
Kazakhstan,2020,69.6,61.3,40.9,62.1,92.3,85.5,84.1,74.6,86.0,68.1,80.2,50.0,50.0
Kenya,2020,55.3,63.2,28.2,48.6,78.7,79.6,13.5,55.0,55.8,75.0,60.4,55.0,50.0
Kiribati,2020,45.2,47.5,24.3,34.2,72.4,0.0,99.0,40.6,62.9,82.2,23.8,25.0,30.0
Kosovo,2020,67.4,66.3,39.2,54.1,92.6,76.5,94.0,75.0,61.0,78.4,76.2,65.0,30.0
Kuwait,2020,63.2,57.1,46.0,47.0,97.7,22.4,99.6,61.3,62.2,73.2,76.4,55.0,60.0
Kyrgyz Republic,2020,62.9,53.6,32.0,31.3,94.1,58.5,66.7,73.6,79.6,76.4,79.2,60.0,50.0
Laos,2020,55.5,42.5,32.0,37.3,87.0,86.6,53.3,54.3,58.6,76.8,82.0,35.0,20.0
Latvia,2020,71.9,72.3,46.4,51.1,76.9,58.3,96.5,77.0,72.4,80.2,86.4,85.0,60.0
Lebanon,2020,51.7,44.6,25.0,30.8,90.8,72.5,0.0,45.6,47.8,75.6,77.4,60.0,50.0
Lesotho,2020,54.5,45.2,29.6,47.0,73.0,34.4,60.3,52.8,58.8,75.7,82.2,55.0,40.0
Liberia,2020,49.0,31.1,23.8,37.9,86.1,65.5,59.7,48.2,38.2,62.1,60.6,55.0,20.0
Libya,2020,N/A,30.1,18.9,20.8,N/A,0.0,N/A,40.7,53.9,53.6,N/A,5.0,N/A
Liechtenstein,2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,85.0,80.0
Lithuania,2020,76.7,77.9,67.4,62.1,84.9,66.0,97.4,71.9,76.5,79.7,86.4,80.0,70.0
Luxembourg,2020,75.8,86.4,90.3,74.4,64.1,45.4,99.0,66.8,45.3,76.4,86.4,95.0,80.0
Macau,2020,70.3,60.0,33.5,60.0,75.0,89.8,99.9,60.0,50.0,70.0,90.0,85.0,70.0
Madagascar,2020,60.5,45.6,25.0,39.6,90.7,91.5,90.6,47.3,44.6,72.7,73.6,55.0,50.0
Malawi,2020,52.8,43.1,24.8,42.1,79.0,71.7,23.6,41.9,62.8,69.1,75.4,50.0,50.0
Malaysia,2020,74.7,86.5,49.4,74.6,85.7,84.6,80.2,87.8,74.5,81.6,82.0,60.0,50.0
Maldives,2020,56.5,48.5,39.2,31.7,95.8,67.9,42.9,78.7,70.6,77.0,61.0,35.0,30.0
Mali,2020,55.9,36.1,20.7,32.7,69.2,85.8,73.6,49.2,52.2,81.6,65.0,65.0,40.0
Malta,2020,69.5,70.5,55.1,49.6,64.8,60.0,95.9,68.0,61.1,77.1,86.4,85.0,60.0
Mauritania,2020,55.3,32.5,21.9,20.8,80.9,76.4,85.9,61.7,51.3,79.6,62.6,50.0,40.0
Mauritius,2020,74.9,75.8,53.3,62.6,91.5,82.1,79.3,82.5,60.2,73.8,88.2,80.0,70.0
Mexico,2020,66.0,58.3,36.7,34.7,76.1,79.3,87.5,67.0,58.4,70.9,87.6,75.0,60.0
Micronesia,2020,52.0,30.1,22.3,26.5,92.9,0.0,99.2,56.9,78.2,82.2,70.8,35.0,30.0
Moldova,2020,62.0,60.5,37.2,31.7,86.1,71.6,96.2,68.1,37.0,72.0,78.0,55.0,50.0
Mongolia,2020,55.9,50.3,36.9,23.0,87.4,66.6,9.3,63.6,75.7,74.2,74.0,50.0,60.0
Montenegro,2020,61.5,59.1,47.5,55.3,85.4,32.1,23.4,70.8,74.8,80.3,83.8,75.0,50.0
Morocco,2020,63.3,66.3,39.2,48.0,71.8,72.8,67.2,70.4,33.0,77.0,78.6,65.0,70.0
Mozambique,2020,50.5,34.9,23.2,31.7,74.1,69.6,40.3,55.3,41.7,72.0,78.0,35.0,50.0
Namibia,2020,60.9,58.9,46.0,58.5,65.7,58.1,28.7,65.6,84.9,75.9,83.2,65.0,40.0
Nepal,2020,54.2,40.7,31.5,32.0,83.4,77.9,98.1,61.6,53.7,71.2,60.4,10.0,30.0
Netherlands,2020,77.0,90.0,90.1,73.9,51.7,45.2,94.1,80.4,60.2,82.5,86.4,90.0,80.0
New Zealand,2020,84.1,93.3,93.9,79.1,71.0,57.8,98.3,90.4,86.7,87.0,92.2,80.0,80.0
Nicaragua,2020,57.2,33.5,24.3,19.5,76.3,77.5,87.2,55.1,55.5,71.5,75.4,60.0,50.0
Niger,2020,54.7,45.6,33.4,42.6,76.7,79.0,44.7,55.4,47.9,74.8,61.2,55.0,40.0
Nigeria,2020,57.2,38.1,22.3,32.2,85.1,96.2,64.1,54.7,84.0,61.7,62.4,45.0,40.0
North Korea,2020,4.2,20.1,15.1,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0
North Macedonia,2020,69.5,62.5,42.2,42.7,91.5,71.0,87.7,80.6,67.0,77.7,86.2,65.0,60.0
Norway,2020,73.4,84.3,95.6,82.8,57.7,25.6,97.3,86.1,57.4,74.8,83.8,75.0,60.0
Oman,2020,63.6,66.4,64.6,66.2,98.4,36.2,14.8,74.6,56.9,78.4,81.6,65.0,60.0
Pakistan,2020,54.8,48.3,29.7,43.2,80.4,86.8,40.4,54.9,41.3,72.5,64.8,55.0,40.0
Panama,2020,67.2,58.8,37.2,30.0,85.3,85.7,91.2,70.8,43.3,79.4,79.2,75.0,70.0
Papua New Guinea,2020,58.4,54.9,29.7,48.4,71.5,86.4,76.4,58.4,69.6,70.7,79.8,25.0,30.0
Paraguay,2020,63.0,44.7,29.6,26.4,96.1,88.6,98.0,60.9,29.0,72.5,75.4,75.0,60.0
Peru,2020,67.9,54.9,33.5,30.6,80.8,86.4,89.0,67.1,62.9,86.3,88.4,75.0,60.0
Philippines,2020,64.5,54.6,38.7,34.2,76.7,87.9,96.3,59.5,57.4,66.9,81.6,60.0,60.0
Poland,2020,69.1,63.1,64.6,42.8,74.7,48.8,92.2,62.6,62.0,82.0,86.4,80.0,70.0
Portugal,2020,67.0,75.4,68.9,65.6,59.6,39.8,74.4,76.5,44.1,83.0,86.4,70.0,60.0
Qatar,2020,72.3,66.9,64.6,58.7,99.8,64.6,93.7,71.1,65.9,80.6,81.6,60.0,60.0
Republic of Congo,2020,41.8,40.7,23.1,30.0,63.3,56.2,0.6,37.5,35.3,83.2,56.8,45.0,30.0
Romania,2020,69.7,72.5,55.1,56.1,90.3,70.4,85.6,58.6,63.0,78.1,86.4,70.0,50.0
Russia,2020,61.0,56.8,41.3,44.4,88.5,63.8,98.7,80.2,52.1,68.2,77.8,30.0,30.0
Rwanda,2020,70.9,76.5,57.6,78.3,79.2,79.8,86.7,60.3,81.8,79.8,70.4,60.0,40.0
Saint Lucia,2020,68.2,69.8,41.8,62.6,76.9,80.6,83.8,76.7,66.4,82.0,73.2,65.0,40.0
Saint Vincent and the Grenadines,2020,66.8,50.5,46.1,62.6,72.4,73.7,89.0,75.8,73.3,80.8,67.2,70.0,40.0
Samoa,2020,62.1,60.5,31.5,31.7,79.6,62.5,94.6,76.6,78.8,79.5,64.6,55.0,30.0
São Tomé and Príncipe,2020,56.2,41.0,37.4,26.5,88.3,77.1,73.0,64.8,43.4,68.1,64.2,60.0,30.0
Saudi Arabia,2020,62.4,64.6,49.6,72.3,99.8,61.8,19.3,66.6,63.3,81.0,75.4,45.0,50.0
Senegal,2020,58.0,52.4,40.6,39.8,70.2,84.4,75.2,50.4,38.1,79.7,65.4,60.0,40.0
"Serbia ",2020,66.0,55.4,44.0,46.8,83.7,49.7,94.1,72.6,66.9,80.7,78.0,70.0,50.0
Seychelles,2020,64.3,68.3,53.3,46.4,76.8,58.9,93.2,65.3,62.8,78.6,82.6,55.0,30.0
Sierra Leone,2020,48.0,40.7,21.8,39.4,87.5,83.5,9.8,50.1,29.7,64.2,69.4,60.0,20.0
Singapore,2020,89.4,96.8,92.4,92.9,90.3,91.1,80.0,92.8,90.9,85.6,94.8,85.0,80.0
Slovak Republic,2020,66.8,73.1,49.7,41.7,78.5,50.2,92.6,55.3,52.6,75.9,86.4,75.0,70.0
Slovenia,2020,67.8,76.5,67.4,48.6,59.2,42.9,90.3,78.4,61.4,82.2,86.4,70.0,50.0
Solomon Islands,2020,52.9,54.6,33.5,53.7,65.6,34.2,76.6,67.7,72.0,84.3,48.0,15.0,30.0
Somalia,2020,N/A,20.1,13.1,26.5,N/A,N/A,N/A,31.6,N/A,N/A,N/A,N/A,N/A
South Africa,2020,58.8,58.4,46.6,38.0,63.7,67.4,64.0,62.0,58.8,75.9,75.8,45.0,50.0
South Korea,2020,74.0,82.5,67.5,61.0,63.9,67.7,96.7,90.5,56.2,82.1,80.0,70.0,70.0
Spain,2020,66.9,74.9,55.1,51.8,62.1,48.3,62.6,66.8,57.7,82.0,86.4,85.0,70.0
Sri Lanka,2020,57.4,47.7,34.7,39.2,84.8,88.9,39.3,76.5,58.6,71.1,67.6,40.0,40.0
Sudan,2020,45.0,33.7,25.5,20.8,86.1,94.5,12.4,53.5,60.0,77.0,52.0,5.0,20.0
Suriname,2020,49.5,45.6,36.9,19.5,70.5,74.8,10.3,48.2,71.9,76.1,69.8,40.0,30.0
Sweden,2020,74.9,88.8,91.4,79.9,43.6,25.8,97.0,85.3,53.8,81.2,86.4,85.0,80.0
Switzerland,2020,82.0,87.4,90.1,81.5,70.1,65.3,96.7,74.2,72.4,84.4,86.6,85.0,90.0
Syria,2020,N/A,45.6,21.9,20.8,N/A,N/A,N/A,48.9,59.3,58.8,51.6,0.0,N/A
Taiwan,2020,77.1,86.9,68.9,70.1,75.0,90.5,91.0,93.9,60.3,82.7,86.0,60.0,60.0
Tajikistan,2020,52.2,49.1,32.0,50.0,91.8,62.3,26.0,65.9,47.7,71.0,75.0,25.0,30.0
Tanzania,2020,61.7,41.9,32.5,43.4,80.6,91.6,92.9,45.9,66.4,72.2,67.8,55.0,50.0
Thailand,2020,69.4,59.5,43.4,48.0,80.7,85.9,96.4,83.0,63.7,74.0,83.0,55.0,60.0
The Bahamas,2020,64.5,54.9,46.0,46.4,96.8,87.4,69.2,69.0,70.0,76.3,47.8,50.0,60.0
The Gambia,2020,56.3,43.9,39.2,43.4,74.6,85.6,25.3,53.5,67.4,63.3,64.6,65.0,50.0
Timor-Leste,2020,45.9,45.2,32.5,12.6,96.3,5.3,19.9,64.0,58.9,76.5,75.0,45.0,20.0
Togo,2020,54.1,41.6,31.2,31.7,67.5,78.6,59.4,55.0,46.9,79.5,63.2,65.0,30.0
Tonga,2020,58.8,60.9,44.2,26.5,85.2,42.8,95.2,75.0,69.8,71.4,74.0,40.0,20.0
Trinidad and Tobago,2020,58.3,56.6,37.4,42.1,82.6,66.5,15.9,67.3,76.0,77.4,67.8,60.0,50.0
Tunisia,2020,55.8,56.4,39.7,43.6,74.2,73.1,38.8,78.1,49.8,73.9,66.4,45.0,30.0
Turkey,2020,64.4,57.4,44.6,53.7,76.7,64.1,86.1,67.0,49.2,66.1,78.0,70.0,60.0
Turkmenistan,2020,46.5,20.1,21.4,20.0,95.9,93.1,94.5,30.0,20.0,68.7,74.2,10.0,10.0
Uganda,2020,59.5,45.6,21.4,36.9,80.3,88.4,64.3,46.0,83.1,78.0,75.4,55.0,40.0
Ukraine,2020,54.9,47.5,37.9,42.2,81.1,47.2,83.9,61.3,48.3,63.0,81.2,35.0,30.0
United Arab Emirates,2020,76.2,80.3,64.6,84.6,99.2,72.1,94.1,78.6,81.3,79.6,80.4,40.0,60.0
United Kingdom,2020,79.3,92.2,89.9,82.7,64.7,49.5,78.1,94.7,73.1,80.3,86.4,80.0,80.0
United States,2020,76.6,81.8,77.2,83.7,74.6,56.5,54.3,83.3,87.9,75.5,79.8,85.0,80.0
Uruguay,2020,69.1,72.0,73.5,59.8,75.2,66.5,72.3,73.6,71.0,72.7,77.4,85.0,30.0
Uzbekistan,2020,57.2,59.1,28.2,34.2,91.6,74.7,98.9,72.6,59.9,59.9,67.6,20.0,20.0
Vanuatu,2020,60.7,68.3,37.4,36.1,97.1,61.1,78.4,51.8,54.6,74.6,63.4,65.0,40.0
Venezuela,2020,25.2,10.1,14.6,12.6,72.8,66.3,0.0,30.8,27.7,0.0,58.0,0.0,10.0
Vietnam,2020,58.8,52.6,33.8,40.1,79.5,75.9,58.0,65.6,62.5,68.2,79.6,40.0,50.0
Yemen,2020,N/A,22.5,21.9,20.1,N/A,96.5,60.1,43.9,43.8,42.6,70.0,50.0,N/A
Zambia,2020,53.5,45.2,28.4,31.3,73.2,81.7,18.4,66.4,47.0,72.2,72.6,55.0,50.0
Zimbabwe,2020,43.1,33.7,18.9,28.3,62.3,88.0,36.2,39.1,43.1,62.8,70.0,25.0,10.0
